Title,GenreID,Runtime,IMDBScore,Language,Premiere_Date
House Arrest,G6,104,5.5,Hindi,15-11-2019
Kevin Hart's Guide to Black History,G18,63,5.5,English,08-02-2019
Love Wedding Repeat,G17,100,5.5,English,10-04-2020
Mute,G3,126,5.5,English,23-02-2018
Òlòturé,G7,106,5.5,English,02-10-2020
Red Dot,G2,86,5.5,Swedish,11-02-2021
Ride or Die,G2,142,5.5,Japanese,15-04-2021
Step Sisters,G6,108,5.5,English,19-01-2018
The Cloverfield Paradox,G3,102,5.5,English,04-02-2018
The Knight Before Christmas,G17,92,5.5,English,21-11-2019
The Legacy of a Whitetail Deer Hunter,G6,83,5.5,English,06-07-2018
The Package,G6,94,5.5,English,10-08-2018
Unicorn Store,G6,92,5.5,English,05-04-2019
Wine Country,G6,103,5.5,English,10-05-2019
Bomb Scared,G6,89,5.6,Spanish,12-10-2017
Brahman Naman,G6,95,5.6,English,07-07-2016
Double Dad,G6,103,5.6,Portuguese,15-01-2021
Falling Inn Love,G17,97,5.6,English,29-08-2019
Hold the Dark,G2,125,5.6,English,28-09-2018
"Love, Guaranteed",G17,91,5.6,English,03-09-2020
One-Way to Tomorrow,G10,90,5.6,Turkish,19-06-2020
Sarah Cooper: Everything's Fine,G18,49,5.6,English,27-10-2020
The Last Laugh,G6,98,5.6,English,11-01-2019
The Last Paradiso,G17,107,5.6,Italian,05-02-2021
The Midnight Sky,G3,118,5.6,English,23-12-2020
The Paramedic,G2,94,5.6,Spanish,16-09-2020
The Sleepover,G6,103,5.6,English,21-08-2020
Vampires vs. the Bronx,G9,86,5.6,English,02-10-2020
Why Did You Kill Me?,G1,83,5.6,English,14-04-2021
A Week Away,G8,97,5.7,English,26-03-2021
Caught by a Wave,G10,99,5.7,Italian,25-03-2021
Christmas Inheritance,G10,104,5.7,English,15-12-2017
Dad Wanted,G7,102,5.7,Spanish,11-09-2020
El Camino Christmas,G6,89,5.7,English,08-12-2017
Eli,G9,98,5.7,English,18-10-2019
Ginny Weds Sunny,G17,125,5.7,Hindi,09-10-2020
Good Sam,G7,89,5.7,English,16-05-2019
Lionheart,G6,94,5.7,English,04-01-2019
Little Evil,G6,94,5.7,English,01-09-2017
One Take,G1,85,5.7,Thai,18-06-2020
"Out of Many, One",G1,34,5.7,English,12-12-2018
Point Blank,G5,86,5.7,English,12-07-2019
Prime Time,G2,91,5.7,Polish,14-04-2021
The Do-Over,G5,108,5.7,English,27-05-2016
The Holiday Calendar,G17,95,5.7,English,02-11-2018
The Woman in the Window,G2,100,5.7,English,14-05-2021
The Wrong Missy,G6,90,5.7,English,13-05-2020
Velvet Buzzsaw,G2,112,5.7,English,01-02-2019
Yes Day,G6,86,5.7,English,12-03-2021
15-Aug,G6,124,5.8,Marathi,29-03-2019
A California Christmas,G17,107,5.8,English,14-12-2020
A Christmas Prince,G17,92,5.8,English,17-11-2017
All Day and a Night,G7,121,5.8,English,01-05-2020
American Son,G7,90,5.8,English,01-11-2019
Barry,G15,104,5.8,English,16-12-2016
Candy Jar,G6,92,5.8,English,27-04-2018
Choked: Paisa Bolta Hai,G7,114,5.8,Hindi,05-06-2020
Class of '83,G7,98,5.8,Hindi,21-08-2020
Extinction,G3,95,5.8,English,27-07-2018
Happy Anniversary,G17,78,5.8,English,30-03-2018
I Am All Girls,G2,107,5.8,English,14-05-2021
Let It Snow,G17,92,5.8,English,08-11-2019
Mascots,G19,95,5.8,English,13-10-2016
Operation Christmas Drop,G17,96,5.8,English,05-11-2020
Rajma Chawal,G6,118,5.8,Hindi,30-11-2018
Rich in Love,G17,105,5.8,Portuguese,30-04-2020
Rising High,G19,94,5.8,German,17-04-2020
Rodney King,G13,52,5.8,English,28-04-2017
Sierra Burgess Is a Loser,G17,105,5.8,English,07-09-2018
Small Crimes,G6,95,5.8,English,28-04-2017
Special Correspondents,G19,100,5.8,English,29-04-2016
TAU,G3,97,5.8,English,29-06-2018
The After Party,G6,89,5.8,English,24-08-2018
The Babysitter: Killer Queen,G6,102,5.8,English,10-09-2020
The Claus Family,G11,96,5.8,Dutch,07-12-2020
The Kissing Booth 2,G17,131,5.8,English,24-07-2020
The Perfect Date,G17,89,5.8,English,12-04-2019
What We Wanted,G7,93,5.8,German,11-11-2020
You've Got This,G17,111,5.8,Spanish,02-10-2020
6 Balloons,G7,75,5.9,English,06-04-2018
A Fall from Grace,G2,120,5.9,English,17-01-2020
Amateur,G7,96,5.9,English,06-04-2018
Army of the Dead,G9,148,5.9,English,21-05-2021
Cam,G9,94,5.9,English,16-11-2018
Earthquake Bird,G4,107,5.9,English,15-11-2019
"Frankenstein's Monster's Monster, Frankenstein",G19,32,5.9,English,16-07-2019
Horse Girl,G7,104,5.9,English,07-02-2020
Notes from Dunblane: Lesson from a School Shooting,G1,23,5.9,English,28-09-2018
Maska,G17,111,5.9,Hindi,27-03-2020
The Decline,G2,83,5.9,French,27-03-2020
The Minimalists: Less Is Now,G1,53,5.9,English,01-01-2021
The Polka King,G6,95,5.9,English,12-01-2018
The Prom,G8,132,5.9,English,11-12-2020
True Memoirs of an International Assassin,G5,98,5.9,English,11-11-2016
Ultras,G5,108,5.9,Italian,20-03-2020
Come Sunday,G15,106,6,English,13-04-2018
Forgive Us Our Debts,G7,104,6,Italian,04-05-2018
iBoy,G3,90,6,English,27-01-2017
Lovefucked,G7,106,6,Hindi,09-08-2019
Juanita,G7,90,6,English,08-03-2019
Murder Mystery,G6,97,6,English,14-06-2019
Project Power,G3,113,6,English,14-08-2020
Rebecca,G10,123,6,English,21-10-2020
The Christmas Chronicles: Part Two,G6,115,6,English,25-11-2020
The Kissing Booth,G17,105,6,English,11-05-2018
The Princess Switch,G17,101,6,English,16-11-2018
