Title,GenreID,Runtime,IMDBScore,Language,Premiere_Date
Private Life,G7,124,7.2,English,05-10-2021
Seventeen,G6,99,7.2,Spanish,18-10-2019
Sometimes,G7,101,7.2,Tamil,01-05-2018
Soni,G7,97,7.2,Hindi,18-01-2019
The 40-Year-Old Version,G6,124,7.2,English,09-10-2020
The Disciple,G7,129,7.2,Marathi,30-04-2021
The Edge of Democracy,G1,121,7.2,Portuguese,19-06-2019
The King,G14,140,7.2,English,01-11-2019
The Road to El Camino: A Breaking Bad Movie,G11,13,7.2,English,29-10-2019
The Siege of Jadotville,G5,108,7.2,English,07-10-2016
Zion,G1,11,7.2,English,10-08-2018
Dolemite Is My Name,G15,118,7.3,English,25-10-2019
El Camino: A Breaking Bad Movie,G7,121,7.3,English,11-10-2019
Extremis,G1,24,7.3,English,13-09-2016
Father Soldier Son,G1,100,7.3,English,17-07-2020
Get Me Roger Stone,G1,101,7.3,English,12-05-2017
I'm No Longer Here,G7,105,7.3,Spanish,27-05-2020
Mucho Mucho Amor: The Legend of Walter Mercado,G1,96,7.3,Spanish,08-07-2020
Octonauts & the Great Barrier Reef,G11,47,7.3,English,13-10-2020
Okja,G5,121,7.3,English,28-06-2017
On My Skin,G7,100,7.3,Italian,12-09-2018
Raat Akeli Hai,G2,149,7.3,Hindi,31-07-2020
ReMastered: Massacre at the Stadium,G1,64,7.3,English,11-01-2019
ReMastered: The Two Killings of Sam Cooke,G1,64,7.3,English,08-02-2019
Secrets of the Saqqara Tomb,G1,114,7.3,English,28-10-2020
Sitara: Let Girls Dream,G11,15,7.3,English,08-03-2020
Sky Ladder: The Art of Cai Guo-Qiang,G1,79,7.3,English,14-10-2016
Team Foxcatcher,G1,90,7.3,English,29-04-2016
The Ballad of Buster Scruggs,G7,132,7.3,English,16-11-2018
The Death and Life of Marsha P. Johnson,G1,105,7.3,English,06-10-2017
The Fundamentals of Caring,G6,97,7.3,English,24-06-2016
The Other One: The Long Strange Trip of Bob Weir,G1,83,7.3,English,22-05-2015
American Factory,G1,110,7.4,English,21-08-2019
Fire in Paradise,G1,39,7.4,English,01-11-2019
Long Shot,G1,40,7.4,English,29-09-2017
Miss Americana,G1,85,7.4,English,31-01-2020
Period. End of Sentence.,G1,26,7.4,English,12-02-2019
Shawn Mendes: Live in Concert,G16,87,7.4,English,25-11-2020
Shirkers,G1,97,7.4,English,26-10-2018
The Black Godfather,G1,118,7.4,English,07-06-2019
The Irishman: In Conversation,G13,23,7.4,English,27-11-2019
The Speed Cubers,G1,40,7.4,English,29-07-2020
They'll Love Me When I'm Dead,G1,98,7.4,English,02-11-2018
Tig,G1,80,7.4,English,17-07-2015
"Barbra: The Music, The Mem'ries, The Magic!",G16,108,7.5,English,22-11-2017
Blackpink: Light Up the Sky,G1,79,7.5,Korean,14-10-2020
City of Joy,G1,74,7.5,English,07-09-2018
Dick Johnson Is Dead,G1,90,7.5,English,02-10-2020
Homecoming: A Film by Beyonce,G1,137,7.5,English,17-04-2019
Invader Zim: Enter the Florpus,G11,71,7.5,English,16-08-2019
Joan Didion: The Center Will Not Hold,G1,98,7.5,English,27-10-2017
John Mulaney & the Sack Lunch Bunch,G18,70,7.5,English,24-12-2019
Reversing Roe,G1,99,7.5,English,13-09-2018
The White Helmets,G1,40,7.5,English,16-09-2016
Athlete A,G1,104,7.6,English,24-06-2020
Ludo,G6,149,7.6,Hindi,12-11-2020
Quincy,G1,124,7.6,English,21-09-2018
Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere,G1,144,7.6,English,12-06-2019
Tell Me Who I Am,G1,85,7.6,English,18-10-2019
The Bleeding Edge,G1,100,7.6,English,27-07-2018
The Social Dilemma,G1,94,7.6,English,09-09-2020
The Two Popes,G7,125,7.6,English,20-12-2019
"What Happened, Miss Simone?",G1,84,7.6,English,26-06-2015
Yeh Ballet,G7,117,7.6,Hindi,21-02-2020
Anima,G8,15,7.7,English,27-06-2019
Beasts of No Nation,G7,136,7.7,English,16-10-2015
Brene Brown: The Call to Courage,G1,76,7.7,English,19-04-2019
Crip Camp: A Disability Revolution,G1,108,7.7,English,25-03-2020
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Cliffton ",G1,94,7.7,English,17-11-2017
Justin Timberlake + The Tennessee Kids,G16,90,7.7,English,12-10-2016
Road to Roma,G11,72,7.7,Spanish,11-02-2020
Roma,G7,135,7.7,Spanish,14-12-2018
If Anything Happens I Love You,G11,12,7.8,English,20-11-2020
The Irishman,G7,209,7.8,English,27-11-2019
The Trial of the Chicago 7,G7,130,7.8,English,16-10-2020
A Secret Love,G1,82,7.9,English,29-04-2020
Icarus,G1,120,7.9,English,04-08-2017
Marriage Story,G7,136,7.9,English,06-12-2019
The Ivory Game,G1,112,7.9,English,04-11-2016
Struggle: The Life and Lost Art of Szukaiski,G1,105,8,English,21-12-2018
Chasing Coral,G1,89,8.1,English,14-07-2017
My Octopus Teacher,G1,85,8.1,English,07-09-2020
Rising Phoenix,G1,106,8.1,English,26-08-2020
13th,G1,100,8.2,English,07-10-2016
Disclosure: Trans Lives on Screen,G1,107,8.2,English,19-06-2020
Klaus,G11,97,8.2,English,15-11-2019
Seaspiracy,G1,89,8.2,English,24-03-2021
The Three Deaths of Marisela Escobedo,G1,109,8.2,Spanish,14-10-2020
Cuba and the Cameraman,G1,114,8.3,English,24-11-2017
Dancing with the Birds,G1,51,8.3,English,23-10-2019
Ben Platt: Live from Radio City Music Hall,G16,85,8.4,English,20-05-2020
Taylor Swift: Reputation Stadium Tour,G16,125,8.4,English,31-12-2018
Winter on Fire: Ukraine's Fight for Freedom,G1,91,8.4,English,09-10-2015
Springsteen on Broadway,G13,153,8.5,English,16-12-2018
Emicida: AmarElo - It's All For Yesterday,G1,89,8.6,Portuguese,08-12-2020
David Attenborough: A Life on Our Planet,G1,83,9,English,04-10-2020
